Code_Diplome;Intitulé diplôme (DEPP);Code_RNCP;Niveau fiche RNCP;Abrégé de diplôme (RNCP);Dernière MaJ;Accès à l'apprentissage de la fiche RNCP (oui/non);Date d'échéance de la fiche RNCP;Fiche ACTIVE/INACTIVE
26X31256;RESPONSABLE COMMERCIAL RETAIL (ASCENCIA);RNCP37787;Niveau 6;;CI-09112023;oui;19/07/2026;ACTIVE
16X32651;EXPERT EN INGENIERIE DE L'INTELLIGENCE ARTIFICIELLE (ANAPIJ ESGI);RNCP35450;Niveau 7;;v1.6;oui;17/03/2024;ACTIVE
25033444;METIERS DU TOURISME : COMMERCIALISATION DES PRODUITS TOURISTIQUES (LP LYON 2);RNCP29980;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13532659;INFORMATIQUE (MASTER ANGERS);RNCP34126;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
36X31303;NEGOCIATEUR IMMOBILIER (IFOCOP);RNCP34686;Niveau 5;;v1.3;oui;29/06/2025;ACTIVE
56T22706;AGENT DE MAINTENANCE CVC (TP);RNCP34139;Niveau 3;TP;v2.4;oui;31/07/2024;ACTIVE
13522008;CHIMIE ET SCIENCES DES MATERIAUX (MASTER SAINT ETIENNE);RNCP35917;Niveau 7;MASTER;v2.4;oui;31/08/2026;ACTIVE
50032311;ASSISTANT TECHNIQUE EN INSTRUMENTS DE MUSIQUE OPTION INSTRUMENTS A VENTS (CAP);RNCP36255;Niveau 3;CAP;v2.4;oui;31/08/2027;ACTIVE
40020102;PILOTE DE LIGNE DE PRODUCTION (BAC PRO);RNCP36428;Niveau 4;BAC PRO;v2.6;oui;31/08/2027;ACTIVE
01033001;AIDE A DOMICILE (MC NIVEAU V);RNCP37568;Niveau 3;MC5;v1.0;oui;31/08/2028;ACTIVE
26X32104;REPORTER CHEF D'EDITION (ISFJ);RNCP25607;Niveau 6;;v1.0;non;25/07/2020;INACTIVE
46T3120A;ASSISTANT MANAGER D'UNITE MARCHANDE (TP);RNCP35233;Niveau 4;TP;v1.0;oui;16/02/2026;ACTIVE
17025505;INGENIEUR DIPLOME DU CONSERVATOIRE NATIONAL DES ARTS ET METIERS SPECIALITE GENIE ELECTRIQUE;RNCP37354;Niveau 7;Titre ingénieur;CI-09112023;oui;31/08/2024;ACTIVE
25023040;METIERS DU BTP : GENIE CIVIL ET CONSTRUCTION (LP MARNE LA VALLEE);RNCP30142;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
01033002;AIDE A DOMICILE (MC NIVEAU III);RNCP37568;Niveau 3;MC5;CI-07122023;oui;31/08/2028;ACTIVE
16X31206;MANAGER DES ACHATS INTERNATIONAUX (CESCI);RNCP6025;Niveau 7;;v1.0;oui;03/07/2019;INACTIVE
13531365;FINANCE (MASTER LILLE 2);RNCP35913;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
25031122;LOGISTIQUE ET TRANSPORTS INTERNATIONAUX (LP PERPIGNAN);RNCP29990;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25020141;SYSTEMES AUTOMATISES, RESEAUX ET INFORMATIQUE INDUSTRIELLE (LP PARIS 11);RNCP29972;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
17025304;INGENIEUR DIPLOME DE L'INSTITUT SUPERIEUR DE MECANIQUE DE PARIS, SPECIALITE GENIE INDUSTRIEL POUR L'AERONAUTIQUE ET L'ESPACE;RNCP36670;Niveau 7;Titre ingénieur;v2.7;oui;31/08/2025;ACTIVE
25022733;MAITRISE DE L'ENERGIE, ELECTRICITE, DEVELOPPEMENT DURABLE (LP ORLEANS);RNCP30094;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25022280;CHIMIE DE SYNTHESE (LP LYON 1);RNCP30052;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
1703260W;INGENIEUR DIPLOME DE L'ECOLE SUPERIEURES D'INGENIEURS DE PARIS-EST DE L'UNIVERSITE DE MARNE LA VALLEE, SPECIALITE ELECTRONIQUE ET INFORMATIQUE;RNCP26677;Niveau 7;Titre ingénieur;v1.0;oui;01/01/2025;ACTIVE
25022770;GESTION ET MAINTENANCE DES INSTALLATIONS ENERGETIQUES (LP);RNCP30073;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
56M25512;INSTALLATEUR DEPANNEUR AUDIO VIDEO ELECTROMENAGER (CTM APCMA);RNCP4631;Niveau 3;;v1.0;oui;30/01/2020;INACTIVE
16X31030;MANAGER D'AFFAIRES DE LA FILERE BIOTECHNOLOGIE-BIOPHARMACIE (GRENOBLE EM);RNCP36861;Niveau 7;;v2.8;oui;29/09/2023;INACTIVE
01033410;SOMMELLERIE (MC NIVEAU V);RNCP37382;Niveau 4;MC4;v1.0;oui;31/08/2028;ACTIVE
25020137;DOMOTIQUE (LP EVRY);RNCP29796;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
32132317;REGIE DU SPECTACLE OPTION SON (DMA);RNCP4000;Niveau 5;DMA;v1.0;oui;01/01/2025;ACTIVE
01033411;EMPLOYE BARMAN (MC NIVEAU V);RNCP37379;Niveau 3;MC5;v1.0;oui;31/08/2026;ACTIVE
32032210;ETUDES DE REALISATION D'UN PROJET DE COMMUNICATION, OPTION A : ETUDES DE REALISATION DE PRODUITS PLURIMEDIA (BTS);RNCP35474;Niveau 5;BTS;v1.6;oui;01/01/2024;ACTIVE
26X32323;CONCEPTEUR(RICE) COMMUNICATION VISUELLE (PARIS COLLEGE OF ART);RNCP26797;Niveau 6;;v1.4;oui;07/09/2021;INACTIVE
46T25204;TECHNICIEN ELECTROMECANICIEN AUTOMOBILE (TP);RNCP35932;Niveau 4;TP;v2.1;oui;01/11/2023;INACTIVE
1702100B;INGENIEUR DIPLOME DE L'ECOLE SUPERIEURE D'AGRICULTURE D'ANGERS (ESAA);RNCP38373;Niveau 7;Titre ingénieur;CI-16122023;oui;31/08/2026;ACTIVE
25032688;METIERS DES RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS (LP LA REUNION);RNCP29968;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
16X31331;EXPERT DES MARCHES FINANCIERS (FINANCIA BUSINESS SCHOOL);RNCP35607;Niveau 7;;v1.9;oui;19/05/2024;ACTIVE
26X24002;MODELISTE CREATEUR/TRICE DE MODE (MODE'ESTAH);RNCP36087;Niveau 5;;v2.3;oui;15/12/2024;ACTIVE
45031001;ADMINISTRATION DES FONCTIONS PUBLIQUES (BP);RNCP963;Niveau 4;BP;v1.0;oui;01/01/2024;ACTIVE
40031112;CONDUITE ET GESTION DES ENTREPRISES MARITIMES - COMMERCE/PLAISANCE PROFESSIONNELLE OPTION VOILE (BAC PRO);RNCP2841;Niveau 4;BAC PRO;v1.0;oui;01/01/2025;ACTIVE
56X34304;AGENT D'ENTRETIEN ET DE RENOVATION EN PROPRETE (OC PROPRETE CPNEF PROPRETE);RNCP35551;Niveau 3;;v2.0;oui;19/04/2026;ACTIVE
46T25405;SOUDEUR PROGRAMMEUR DE CELLULES ROBOTISEES (TP);RNCP36169;Niveau 4;TP;CI-09112023;oui;31/01/2027;ACTIVE
2503262U;METIERS DU DECISIONNEL ET DE LA STATISTIQUE (LP PAU);RNCP29969;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13533512;STAPS:INGENIERIE ET ERGONOMIE DE L'ACTIVITE PHYSIQUE (MASTER CLERMONT AUVERGNE);RNCP32171;Niveau 7;MASTER;v1.0;oui;01/01/2025;ACTIVE
26X32108;RESPONSABLE DE COMMUNICATION ET DE PUBLICITE (SUP DE PUB - GROUPE INSEEC);RNCP1739;Niveau 6;;v1.0;oui;07/08/2022;INACTIVE
16X31517;MANAGER EN STRATEGIE ET GESTION DES RESSOURCES HUMAINES (ESSYM - CCI PARIS ILE DE FRANCE);RNCP34208;Niveau 7;;v1.0;oui;10/09/2024;ACTIVE
26X31217;RESPONSABLE DU DEVELOPPEMENT COMMERCIAL (LA COMPAGNIE DE FORMATION - PIGIER);RNCP37075;Niveau 6;;v2.9;oui;23/11/2025;ACTIVE
26X31516;GESTIONNAIRE DES RESSOURCES HUMAINES (LA COMPAGNIE DE FORMATION - PIGIER);RNCP34710;Niveau 6;;v1.3;oui;29/06/2025;ACTIVE
25031434;METIERS DE LA GESTION ET DE LA COMPTABILITE : CONTROLE DE GESTION (LP CNAM);RNCP29764;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
2503121V;GESTION DES ACHATS ET DES APPROVISIONNEMENTS (LP ORLEANS);RNCP30065;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
17022004;INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE ROUEN, SPECIALITE GENIE DES PROCEDES;RNCP26859;Niveau 7;Titre ingénieur;v1.0;oui;01/01/2025;ACTIVE
16C31501;RESPONSABLE EN GESTION DES RESSOURCES HUMAINES (ASSOCIATION POUR LA GESTION DE 3IL - ISFOGEP);RNCP38112;Niveau 7;;CI-27112023;oui;18/10/2026;ACTIVE
17025120;INGENIEUR DIPLOME DE L'ECOLE NATIONALE D'INGENIEURS DE SAINT-ETIENNE DE L'ECOLE CENTRALE DE LYON, SPECIALITE GENIE MECANIQUE;RNCP36103;Niveau 7;Titre ingénieur;v2.3;oui;31/08/2025;ACTIVE
16X31008;MANAGER D'UNITE OPERATIONNELLE (EMD);RNCP36608;Niveau 7;;v2.8;oui;01/07/2025;ACTIVE
36X32609;DEVELOPPEUR(EUSE) INETEGRATEUR(RICE) DE MEDIAS INTERACTIFS (AUTOGRAF);RNCP28749;Niveau 5;;v1.0;oui;05/08/2022;INACTIVE
36X32307;CHARGE DE PRODUCTION DE PROJETS ARTISTIQUES (ECAD CONSULTANTS - IESA);RNCP36984;Niveau 5;;v2.8;oui;24/10/2024;ACTIVE
1353261T;OPTIQUE, IMAGE, VISION, MULTIMEDIA (MASTER UPEC);RNCP23345;Niveau 7;MASTER;v2.9;oui;01/01/2025;ACTIVE
26033402;DIPLOME EN MANAGEMENT DU TOURISME DE L'ECOLE SUPERIEURE DU TOURISME GROUPE Y SCHOOL;RNCP36234;Niveau 6;DIPLOVIS;v2.5;oui;31/08/2025;ACTIVE
17025202;INGENIEUR SPECIALISE EN ENERGIE ET MOTORISATIONS, DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DU PETROLE ET DES MOTEURS;RNCP37729;Niveau 7;Titre ingénieur;CI-09112023;oui;31/08/2025;ACTIVE
17020001;INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE D'ARTS ET METIERS, SPECIALITE GENIE INDUSTRIEL;RNCP38190;Niveau 7;Titre ingénieur;CI-27112023;oui;31/08/2024;ACTIVE
36X24205;STYLISTE DE MODE (IICC MODE);RNCP35679;Niveau 5;;v2.1;oui;17/06/2023;INACTIVE
46X25201;CONSEILLER TECHNIQUE CYCLES (ANFA);RNCP36721;Niveau 4;;v2.7;oui;20/07/2027;ACTIVE
36331403;TECHNICIEN CONSEIL EN COMPTABILITE ET GESTION AGRICOLES (CSA);RNCP2296;Niveau 5;CS;v1.0;oui;01/01/2025;ACTIVE
25023043;METIERS DU BTP : GENIE CIVIL ET CONSTRUCTION (LP CERGY);RNCP30142;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25012807;ACTIVITES JURIDIQUES : METIERS DU DROIT PRIVE (LP PERPIGNAN);RNCP30039;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
45321006;AGROEQUIPEMENT CONDUITE ET MAINTENANCE DES MATERIELS (BP);RNCP37024;Niveau 4;BP;v2.8;oui;01/01/2028;ACTIVE
46T32402;SECRETAIRE ASSISTANT(E) (TP);RNCP36804;Niveau 4;TP;v2.7;oui;01/09/2025;ACTIVE
25131004;GESTION DES ENTREPRISES ET DES ADMINISTRATIONS : GESTION, ENTREPRENEURIAT ET MANAGEMENT D'ACTIVITES (BUT);RNCP35377;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
13531086;MANAGEMENT ET ADMINISTRATION DES ENTREPRISES (MASTER LIMOGES);RNCP35917;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
25032035;METIERS DU NUMERIQUE : CONCEPTION, REDACTION ET REALISATION WEB (LP GRENOBLE ALPES);RNCP29971;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25020112;SYSTEMES AUTOMATISES, RESEAUX ET INFORMATIQUE INDUSTRIELLE (LP SAINT ETIENNE);RNCP29972;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
26X31249;RESPONSABLE MARKETING ET COMMUNICATION (ESGCV);RNCP36609;Niveau 6;;v2.7;oui;01/07/2025;ACTIVE
20511433;SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES (LIC LMD MONTPELLIER);RNCP24518;Niveau 6;LICENCE;v1.1;oui;01/01/2025;ACTIVE
16531205;PROGRAMME GRANDE ECOLE DE L'ECOLE SUPERIEURE DE COMMERCE DE CLERMONT;RNCP36567;Niveau 7;DipViGrM;v2.7;oui;31/08/2026;ACTIVE
13513401;CREATION NUMERIQUE (MASTER TOULON);RNCP34837;Niveau 7;MASTER;v1.5;oui;30/06/2025;ACTIVE
26X32028;CHEF DE PROJET DIGITAL (ECAD CONSULTANTS - ESGCV));RNCP34167;Niveau 6;;v1.0;oui;10/09/2024;ACTIVE
26531012;BACHELOR EN SCIENCES DU MANAGEMENT - DIPLOME D'ETUDES SUPERIEURES EN MANAGEMENT DES AFFAIRES INTERNATIONALES (CESEM) DE NEOMA BS;RNCP36437;Niveau 6;DipViGrL;CI-09112023;non;31/08/2026;ACTIVE
16X31102;MANAGER DE LA PERFORMANCE DE LA SUPPLY-CHAIN (MS ESTIA);RNCP36081;Niveau 7;;v2.3;oui;15/12/2023;INACTIVE
25023056;METIERS DU BTP : TRAVAUX PUBLICS (LP AMIENS);RNCP30144;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
36033112;AUDIOPROTHESISTE (DIPLOME D'ETAT);RNCP36110;Niveau 6;DE;v2.3;oui;31/12/2026;ACTIVE
35533504;METIERS DE LA FORME (DEUST STRASBOURG);RNCP35950;Niveau 5;DEUST;v2.1;oui;31/08/2026;ACTIVE
25022231;CHIMIE : FORMULATION (LP CERGY);RNCP30050;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13512701;PHILOSOPHIE (MASTER);RNCP34040;Niveau 6;Licence Professionnelle;v2.4;oui;31/08/2024;ACTIVE
32025411;CONCEPTION ET REALISATION DE CARROSSERIE (BTS);RNCP35490;Niveau 5;BTS;v1.6;oui;01/01/2024;ACTIVE
25025103;METIERS DE L'INSTRUMENTATION, DE LA MESURE ET DU CONTROLE QUALITE (LP ROUEN);RNCP30136;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
56M23211;ZINGUEUR FERBLANTIER (CTM APCMA);RNCP34259;Niveau 3;;v1.0;oui;10/10/2024;ACTIVE
15531401;PARIS DAUPHINE : CONTROLE, AUDIT, REPORTING FINANCIER;RNCP34548;Niveau 7;DGE_GM;v1.3;oui;31/08/2024;ACTIVE
45023313;MENUISIER ALUMINIUM-VERRE (BP);RNCP31275;Niveau 4;BP;v1.0;oui;01/01/2025;ACTIVE
17025122;INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE TOULOUSE SPE GENIE MECANIQUE;RNCP34871;Niveau 7;Titre ingénieur;v1.3;oui;31/08/2025;ACTIVE
20511414;SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES (LIC LMD PARIS 11);RNCP24518;Niveau 6;LICENCE;v1.1;oui;01/01/2025;ACTIVE
46R2300A;VENDEUR-AGENCEUR DE CUISINES ET DE SALLE DE BAINS (AFPIA);RNCP37051;Niveau 4;;v2.9;oui;23/11/2025;ACTIVE
50022343;LAPIDAIRE OPTION B : PIERRES DE COULEUR (CAP);RNCP596;Niveau 3;CAP;v1.0;oui;01/01/2025;ACTIVE
40321303;FORET (BAC PRO AG);RNCP36790;Niveau 4;BAC PRO;v2.7;oui;31/08/2027;ACTIVE
1703260C;INGENIEUR DIPLOME DE L'ECOLE POLYTECHNIQUE DE L'UNIVERSITE PARIS 11, SPECIALITE INFORMATIQUE;RNCP13862;Niveau 7;Titre ingénieur;v2.1;oui;01/01/2025;ACTIVE
13513612;TRADUCTION ET INTERPRETATION (MASTER MARNE LA VALLEE);RNCP34116;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
20513113;LETTRES (LIC LMD BORDEAUX 3);RNCP24481;Niveau 6;LICENCE;v1.0;oui;01/01/2025;ACTIVE
25020071;METIERS DE L'INDUSTRIE : GESTION DE LA PRODUCTION INDUSTRIELLE (LP PARIS 11);RNCP30128;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
32023012;BATIMENT (BTS);RNCP1122;Niveau 5;BTS;v1.0;oui;01/01/2025;ACTIVE
25022277;CHIMIE ANALYTIQUE, CONTROLE, QUALITE, ENVIRONNEMENT (LP NANTES);RNCP30051;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
26031403;COMPTABILITE ET GESTION (DIPLÔME DE) (DCG);RNCP35526;Niveau 6;Grade_Licence;v1.7;oui;31/08/2025;ACTIVE
26X24208;STYLISTE DE DE MODE (STUDIO M);RNCP35097;Niveau 6;;v2.0;oui;18/11/2023;INACTIVE
25031514;METIERS DE LA GRH : ASSISTANT (LP PARIS 12);RNCP29806;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25123002;GENIE CIVIL - CONSTRUCTION DURABLE : TRAVAUX BATIMENT (BUT);RNCP35482;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
13512307;SCIENCES SOCIALES (MASTER MARNE LA VALLEE);RNCP34296;Niveau 7;MASTER;v1.1;oui;31/08/2024;ACTIVE
16X12802;JURISTE D'AFFAIRES (HEAD);RNCP34694;Niveau 7;;v1.8;oui;29/06/2022;INACTIVE
26X31303;CONSEILLER FINANCIER (SOFTEC);RNCP31924;Niveau 6;;v1.0;oui;18/12/2023;ACTIVE
46X32308;TECHNICIEN LUMIERE (STAFF);RNCP36601;Niveau 4;;v2.7;oui;01/07/2024;ACTIVE
20511501;SCIENCES POUR L'INGENIEUR (LIC LMD BORDEAUX);RNCP24538;Niveau 6;LICENCE;v1.1;oui;01/01/2025;ACTIVE
20512603;SCIENCES HUMAINES ET SOCIALES : HISTOIRE (LIC LMD PARIS 10);RNCP24430;Niveau 6;LICENCE;v1.1;oui;01/01/2025;ACTIVE
36T33404;RESPONSABLE D'UNITE DE RESTAURATION COLLECTIVE (TP);RNCP35193;Niveau 5;TP;v2.2;oui;22/01/2026;ACTIVE
17025115;INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DE MECANIQUE ET DES MICROTECHNIQUES, SPECIALITE MECANIQUE;RNCP16542;Niveau 7;Titre ingénieur;v1.0;oui;01/01/2025;ACTIVE
17025003;INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DES INGENIEURS DES TECHNIQUES AVANCEES BRETAGNE, SPECIALITE MECANIQUE ET ELECTRONIQUE (ENSTA BREST);RNCP36092;Niveau 7;Titre ingénieur;v2.3;oui;31/08/2024;ACTIVE
50033204;ACCOMPAGNANT EDUCATIF PETITE ENFANCE (CAP);RNCP28048;Niveau 3;CAP;v1.0;oui;01/01/2025;ACTIVE
20532618;INFORMATIQUE (LIC LMD);RNCP24514;Niveau 6;LICENCE;v1.0;oui;01/01/2025;ACTIVE
25031081;METIERS DE L'ENTREPRENEURIAT (LP CLERMONT AUVERGNE);RNCP30122;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13511823;BIOLOGIE MOLECULAIRE ET CELLULAIRE (MASTER);RNCP34272;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
13512895;RELATIONS INTERNATIONALES (MASTER AIX MARSEILLE);RNCP35047;Niveau 7;MASTER;v1.5;oui;31/08/2024;ACTIVE
01033412;ORGANISATEUR DE RECEPTION (MC NIVEAU IV);RNCP37922;Niveau 4;MC4;CI-09112023;oui;31/08/2028;ACTIVE
36X31205;CHARGE DE MARKETING DIGITAL (CARREL FORMATION CONTINUE);RNCP21701;Niveau 5;;v1.0;oui;30/01/2020;INACTIVE
26X32060;DOCUMENTARISTE SONORE PODCASTER (3IS);RNCP35225;Niveau 6;;v2.4;oui;20/01/2024;ACTIVE
56T2520A;MECANICIEN REPARATEUR DE VEHICULES INDUSTRIELS (TP);RNCP35227;Niveau 3;TP;v1.6;oui;27/02/2026;ACTIVE
25011809;BIO-INDUSTRIES ET BIOTECHNOLOGIES (LP AMIENS);RNCP30047;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25031109;MANAGEMENT DES PROCESSUS LOGISTIQUES (LP MARNE LA VALLEE);RNCP29992;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
1351280K;DROIT DES AFFAIRES (MASTER STRASBOURG);RNCP34127;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
25025013;MAINTENANCE ET TECHNOLOGIE : SYSTEMES PLURITECHNIQUES (LP ARTOIS);RNCP30092;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
26X32335;PRODUCTEUR (LA CINE FABRIQUE);RNCP37499;Niveau 6;;CI-09112023;oui;24/04/2025;ACTIVE
25031438;METIERS DE LA GESTION ET DE LA COMPTABILITE : REVISION COMPTABLE (LP);RNCP29791;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
20511002;SCIENCES ET TECHNOLOGIES (LIC LMD NICE);RNCP24537;Niveau 6;LICENCE;v1.1;oui;01/01/2025;ACTIVE
17032640;INGENIEUR DIPLOME DE L'ECOLE PUBLIQUE D'INGENIEURS DE LA SANTE ET DU NUMERIQUE (EPISEN) DE L'UNIVERSITE PARIS XII, SPECIALITE INFORMATIQUE ET SANTE;RNCP36754;Niveau 7;Titre ingénieur;CI-09112023;oui;31/08/2025;ACTIVE
32022709;FLUIDES-ENERGIES-DOMOTIQUE OPTION A GENIE CLIMATIQUE ET FLUIDIQUE (BTS);RNCP38361;Niveau 5;BTS;CI-13122023;oui;31/12/2028;ACTIVE
26R22001;CHARGE D'ETUDES EN CONCEPTION DE SYSTEMES MECANIQUES (SUP DE VINCI MECAVENIR);RNCP35546;Niveau 6;;v1.7;oui;19/04/2026;ACTIVE
26X31012;MANAGER PME-PMI (OMNIS);RNCP18210;Niveau 6;;v1.0;oui;19/07/2022;INACTIVE
25022211;CHIMIE ANALYTIQUE, CONTROLE, QUALITE, ENVIRONNEMENT (LP ROUEN);RNCP30051;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
20512211;ECONOMIE ET GESTION (LIC LMD NICE);RNCP24426;Niveau 6;LICENCE;v1.0;oui;01/01/2025;ACTIVE
17020010;INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DES MINES DE NANCY DE L'UNIVERSITE DE LORRAINE, SPECIALITE GENIE MECANIQUE;RNCP6996;Niveau 7;Titre ingénieur;v2.6;oui;01/01/2025;ACTIVE
2503123A;COMMERCE ET DISTRIBUTION (LP);RNCP29740;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
55321303;TRAVAUX FORESTIERS TRAVAUX DE SYLVICULTURE (BPA5);RNCP5832;Niveau 3;BPA;v1.0;oui;01/01/2025;ACTIVE
25012802;ACTIVITES JURIDIQUES : METIERS DU DROIT DE L'IMMOBILIER (LP PERPIGNAN);RNCP30038;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25032314;TECHNIQUES DU SON ET DE L'IMAGE (LP AMIENS);RNCP30164;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13531229;MARKETING, VENTE (MASTER TOURS);RNCP35907;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
13531371;FINANCE (MASTER SACLAY);RNCP35913;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
25033301;GESTION ET ACCOMPAGNEMENT DE PROJETS PEDAGOGIQUES (SUP AGRO MONTPELLIER);RNCP30071;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25032673;METIERS DES RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS (LP EVRY);RNCP29968;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25032644;METIERS DE L'INFORMATIQUE : CONCEPTION, DEVELOPPEMENT ET TEST DE LOGICIELS (LP CHAMBERY);RNCP29966;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25031308;ASSURANCE, BANQUE, FINANCE : SUPPORTS OPERATIONNELS (LP LYON 2);RNCP34025;Niveau 6;Licence Professionnelle;v1.0;oui;31/08/2024;ACTIVE
56T25102;TOURNEUR(EUSE) SUR MACHINES CONVENTIONNELLES ET A COMMANDES NUMERIQUES (TP);RNCP36236;Niveau 3;TP;v2.4;oui;07/03/2027;ACTIVE
16531231;PROGRAMME GRANDE ECOLE DE L'INSTITUT SUPERIEUR DES SCIENCES TECHNIQUES ET ECONOMIE COMMERCIALES DE PARIS (ISTEC);RNCP38092;Niveau 7;DipViGrM;CI-09112023;oui;31/08/2026;ACTIVE
16X31222;MANAGER DU DEVELOPPEMENT COMMERCIAL ET INTERNATIONAL (ISIMI - PPA);RNCP37738;Niveau 7;;CI-09112023;oui;19/07/2026;ACTIVE
26X31004;RESPONSABLE EN MANAGEMENT D'UNITE ET DE PROJET (CESI);RNCP36288;Niveau 6;;v2.4;oui;25/03/2027;ACTIVE
26X32001;CHEF DE PROJET MULTIMEDIA (ILV IIM);RNCP36622;Niveau 6;;v2.7;oui;01/07/2024;ACTIVE
13525514;ELECTRONIQUE, ENERGIE ELECTRIQUE, AUTOMATIQUE (MASTER PARIS SACLAY);RNCP34117;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
25022123;LOGISTIQUE ET PILOTAGE DES FLUX (LP BREST);RNCP29988;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
50025433;PEINTURE EN CARROSSERIE (CAP);RNCP37540;Niveau 3;CAP;v1.0;oui;31/08/2028;ACTIVE
26031022;DIPLOME DE RESPONSABLE OPERATIONNEL A L'INTERNATIONAL DE L'ECOLE SUP DE COMMERCE ET DE DEVELOPPEMENT 3A DE LYON;RNCP35843;Niveau 6;DIPLOVIS;v2.0;oui;30/08/2024;ACTIVE
36T31203;NEGOCIATEUR TECHNICO-COMMERCIAL (TP);RNCP34079;Niveau 5;TP;v1.2;oui;10/06/2024;ACTIVE
26X31021;CHARGE DE GESTION ET MANAGEMENT (FORMATIVES);RNCP34734;Niveau 6;;v1.3;oui;30/06/2025;ACTIVE
36X22001;DIAGNOSTIQUEUR DE PRODUITS, EQUIPEMENTS, MATERIAUX ET DECHETS ISSUS DU BATIMENT (JUNIA XP);RNCP37521;Niveau 5;;CI-16112023;oui;24/04/2026;ACTIVE
25025005;MAINTENANCE ET TECHNOLOGIE : SYSTEMES PLURITECHNIQUES (LP NANTES);RNCP30092;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
